"","x"
"1","ADMINISTRAÇÃO"
"2","ADMINISTRAÇÃO"
"3","ADMINISTRAÇÃO PÚBLICA"
"4","ADMINISTRAÇÃO PÚBLICA"
"5","AGRONOMIA"
"6","ANÁLISE E DESENVOLVIMENTO DE SISTEMAS"
"7","ARQUITETURA E URBANISMO"
"8","ARTES VISUAIS"
"9","BACHARELADO INTERDISCIPLINAR EM HUMANIDADES"
"10","BIBLIOTECONOMIA"
"11","BIOMEDICINA"
"12","CIÊNCIA DA COMPUTAÇÃO"
"13","CIÊNCIAS ATUARIAIS"
"14","CIÊNCIAS BIOLÓGICAS"
"15","CIÊNCIAS BIOLÓGICAS"
"16","CIÊNCIAS BIOLÓGICAS"
"17","CIÊNCIAS CONTÁBEIS"
"18","CIÊNCIAS CONTÁBEIS"
"19","CIÊNCIAS E TECNOLOGIA"
"20","CIÊNCIAS ECONÔMICAS"
"21","CIÊNCIAS SOCIAIS"
"22","CIÊNCIAS SOCIAIS"
"23","COMUNICAÇÃO SOCIAL"
"24","COMUNICAÇÃO SOCIAL - AUDIOVISUAL"
"25","COMUNICAÇÃO SOCIAL- PUBLICIDADE E PROPAGANDA"
"26","DANÇA"
"27","DESIGN"
"28","DIREITO"
"29","DIREITO"
"30","ECOLOGIA"
"31","EDUCAÇÃO FÍSICA"
"32","EDUCAÇÃO FÍSICA"
"33","EDUCAÇÃO FÍSICA"
"34","EDUCAÇÃO FÍSICA"
"35","ENFERMAGEM"
"36","ENFERMAGEM"
"37","ENGENHARIA AMBIENTAL"
"38","ENGENHARIA BIOMÉDICA"
"39","ENGENHARIA CIVIL"
"40","ENGENHARIA DE ALIMENTOS"
"41","ENGENHARIA DE AQUICULTURA"
"42","ENGENHARIA DE COMPUTAÇÃO"
"43","ENGENHARIA DE MATERIAIS"
"44","ENGENHARIA DE PETRÓLEO"
"45","ENGENHARIA DE PRODUÇÃO"
"46","ENGENHARIA DE PRODUÇÃO"
"47","ENGENHARIA DE SOFTWARE"
"48","ENGENHARIA DE TELECOMUNICAÇÕES"
"49","ENGENHARIA ELÉTRICA"
"50","ENGENHARIA FLORESTAL"
"51","ENGENHARIA MECÂNICA"
"52","ENGENHARIA MECATRÔNICA"
"53","ENGENHARIA QUÍMICA"
"54","ENGENHARIA TÊXTIL"
"55","ESTATÍSTICA"
"56","FARMÁCIA"
"57","FILOSOFIA"
"58","FILOSOFIA"
"59","FÍSICA"
"60","FÍSICA"
"61","FÍSICA"
"62","FISIOTERAPIA"
"63","FISIOTERAPIA"
"64","FONOAUDIOLOGIA"
"65","GEOFÍSICA"
"66","GEOGRAFIA"
"67","GEOGRAFIA"
"68","GEOGRAFIA"
"69","GEOGRAFIA"
"70","GEOGRAFIA"
"71","GEOLOGIA"
"72","GESTÃO DE COOPERATIVAS"
"73","GESTÃO DE POLÍTICAS PÚBLICAS"
"74","GESTÃO EM SISTEMAS E SERVIÇOS DE SAÚDE"
"75","GESTÃO HOSPITALAR"
"76","HISTÓRIA"
"77","HISTÓRIA"
"78","HISTÓRIA"
"79","HISTÓRIA"
"80","HISTÓRIA -"
"81","JORNALISMO"
"82","LETRAS"
"83","LETRAS - FRANCÊS"
"84","LETRAS - INGLÊS"
"85","LETRAS - LINGUA ESPANHOLA"
"86","LETRAS - LÍNGUA ESPANHOLA"
"87","LETRAS - LINGUA PORTUGUESA"
"88","LETRAS - LÍNGUA PORTUGUESA"
"89","LETRAS - LÍNGUA PORTUGUESA E LIBRAS"
"90","LETRAS - PORTUGUÊS E INGLÊS"
"91","LICENCIATURA EM CIÊNCIAS SOCIAIS"
"92","MATEMÁTICA"
"93","MATEMÁTICA"
"94","MATEMÁTICA"
"95","MATEMÁTICA"
"96","MATEMÁTICA"
"97","MEDICINA"
"98","MEDICINA"
"99","METEOROLOGIA"
"100","MÚSICA"
"101","MÚSICA"
"102","NUTRIÇÃO"
"103","NUTRIÇÃO"
"104","ODONTOLOGIA"
"105","PEDAGOGIA"
"106","PEDAGOGIA"
"107","PEDAGOGIA"
"108","PSICOLOGIA"
"109","PSICOLOGIA"
"110","QUÍMICA"
"111","QUÍMICA"
"112","QUÍMICA"
"113","QUÍMICA DO PETRÓLEO"
"114","SERVIÇO SOCIAL"
"115","SISTEMAS DE INFORMAÇÃO"
"116","TEATRO"
"117","TECNOLOGIA DA INFORMAÇÃO"
"118","TURISMO"
"119","TURISMO"
"120","ZOOTECNIA"
